stop_id,stop_name,stop_usage
120769,Pokkitörmä,7363
120777,Kaupungintalo E,6289
120737,Toivoniemi P,5660
120755,Raatti P,5660
120736,Toivoniemi E,5614
120754,Raatti E,5614
120811,Rautasaari P,4625
120812,Rautasaari E,4620
120799,Rotuaari,4617
120798,Hellaakoski,4613
307155,Kaupungintalo P,4447
120786,Raksila P,4040
120787,Raksila E,4019
184174,Silfvaninpuisto,3772
120785,Välkkylä E,3663
120784,Välkkylä P,3655
120776,Kuvernööri,3637
120796,Linja-autoasema E,3405
120809,Linja-autoasema P,3400
121537,OYS Kajaanintie P,2975
